ID,Place_ID,Name,Rating,UserRatingsTotal,Type,PriceLevel,Lat,Lng,Address
103,ChIJK92JKX0IAWARwJOSxNtpnMM,Itsukushima Shrine,4.1,201,Place Of Worship,,35.0181276,135.7620661,"Japan, 〒602-0881 Kyoto, Kamigyo Ward, Kyotogyoen, ６"
104,ChIJ7a-KY-YIAWARd2_h9Y4whr8,Heian-Jingu Shrine Grand Torii,4.4,556,Place Of Worship,,35.0126001,135.7826894,"9 Okazaki Seishojicho, Sakyo Ward, Kyoto, 606-8343, Japan"
105,ChIJ2Sp91xyoAWARuy5EQKrDDAg,Imamiya Shrine,4.3,3444,Place Of Worship,,35.0459513,135.7420479,"21 Murasakino Imamiyacho, Kita Ward, Kyoto, 603-8243, Japan"
106,ChIJu70HthYPAWARiNgEFBlZL90,Fushimi Kandakara Shrine,4.6,676,Place Of Worship,,34.9665384,135.7769538,"15 Fukakusa Sasayamacho, Fushimi Ward, Kyoto, 612-0811, Japan"
107,ChIJ6fEwI5kIAWARnhhOdaZRUQo,Hanjō-jinja Shrine,4.0,131,Place Of Worship,,35.0002815,135.7578206,"308 Hanjocho, Shimogyo Ward, Kyoto, 600-8433, Japan"
108,ChIJGVpMOBQPAWARF96_WA-XIl0,Senbon Torii (Thousand Torii Gates),4.7,12680,Place Of Worship,,34.9670429,135.7746595,"68番地 Fukakusa Yabunouchicho, Fushimi Ward, Kyoto, 612-0882, Japan"
109,ChIJqeJAF-IIAWARU4YU3rm3HcI,Okazaki Shrine,4.3,3767,Place Of Worship,,35.0173191,135.7887901,"Japan, 〒606-8332 Kyoto, Sakyo Ward, Okazaki Higashitennocho, ５１番地"
110,ChIJw3QBuosIAWARMjDpz23tjRs,Shimogoryō Shrine,4.1,477,Place Of Worship,,35.0168289,135.7679111,"Japan, 〒604-0995 Kyoto, Nakagyo Ward, Shimogoryomaecho"
111,ChIJkWH_sqUIAWARWsn28jWc7y0,Higashi Hongan-ji Temple,4.5,12063,Place Of Worship,,34.9909478,135.7584754,"Japan, 〒600-8505 Kyoto, Shimogyo Ward"
112,ChIJOSweVHsIAWAROJtjBZoY63I,Shirakumo Shrine,4.2,205,Place Of Worship,,35.0215099,135.761177,"Kyotogyoen, Kamigyo Ward, Kyoto, 602-0881, Japan"
113,ChIJP7gMl_4IAWARbkV4DJXVoF0,Takenaka Inari Shrine,4.2,145,Place Of Worship,,35.0246818,135.7867673,"3-64 Yoshidakaguraokacho, Sakyo Ward, Kyoto, 606-8311, Japan"
114,ChIJq6p7cUoPAWAR4cB-vzxjo1Y,Takio Shrine,4.0,547,Place Of Worship,,34.9825611,135.7706367,"11 Chome-718 Honmachi, Higashiyama Ward, Kyoto, 605-0981, Japan"
115,ChIJn6LO2-gIAWARJ-wce5raahY,Manzoku Inari-jinja Shrine,4.1,340,Place Of Worship,,35.0107183,135.7784566,"527-1 Higashimonzencho, Sakyo Ward, Kyoto, 606-8345, Japan"
116,ChIJw4xjuicGAWAR42znCUpOsfA,Tendō-jinja Shrine,4.3,65,Place Of Worship,,35.0015003,135.7503828,"Japan, 〒600-8397 Kyoto, Shimogyo Ward, Nishidacho, 615 天道神社 ６１５ 仏"
117,ChIJn6LO2-gIAWARakVJQNhW2Gs,Otatsu Inari-jinja Shrine,3.9,79,Place Of Worship,,35.0175966,135.7816789,"29-1 Shogoin Entomicho, Sakyo Ward, Kyoto, 606-8323, Japan"
118,ChIJK92JKX0IAWARH2-W6dOulBs,Munataka Shrine,4.1,191,Place Of Worship,,35.0189695,135.7612756,"9 Kyotogyoen, Kamigyo Ward, Kyoto, 602-0881, Japan"
119,ChIJER7sD36nAWARjlUZY33PfVo,Miyake Hachimangu Shrine,4.0,357,Place Of Worship,,35.0683458,135.7941042,"22 Kamitakano Miyakecho, Sakyo Ward, Kyoto, 606-0035, Japan"
120,ChIJx93g5I8IAWARL7ntGdH8j4w,The Museum of Kyoto,4.1,5226,Museum,,35.008982,135.7623553,"623-1 Higashikatamachi, Nakagyo Ward, Kyoto, 604-8183, Japan"
121,ChIJU6AVkuYIAWARWKx8NeUp25E,Kyoto City KYOCERA Museum of Art,4.4,6707,Museum,,35.0128613,135.7835544,"124 Okazaki Enshojicho, Sakyo Ward, Kyoto, 606-8344, Japan"
122,ChIJh1qJf4YIAWARTAOFMHrSHvI,Kyoto International Manga Museum,4.2,6261,Museum,,35.0118576,135.7594192,"452 Kinbukicho, Nakagyo Ward, Kyoto, 604-0846, Japan"
123,ChIJ187BbeYIAWARFtc1KdlA0UE,"The National Museum of Modern Art, Kyoto",4.1,3703,Museum,,35.0124077,135.7821571,"26-1 Okazaki Enshojicho, Sakyo Ward, Kyoto, 606-8344, Japan"
