HotelName,Address,Rating,UserRatingsTotal,Types,Lat,Lng,Place_ID
ホテルモントレ京都,京都市中京区饅頭屋町６０４ 烏丸通三条下ル,4.1,3083,"lodging, point_of_interest, establishment",35.0078486,135.7594248,ChIJEdzLq-0GAWARfUpevjWDfcE
ハートンホテル京都,京都市中京区船屋町４０５ ハートンホテル京都 1F,4,1772,"lodging, point_of_interest, establishment",35.0116946,135.7609035,ChIJlakf5IUIAWARRkz_eK81n2E
NISHIYAMA RYOKAN,京都市中京区山本町４３３,4.6,240,"lodging, point_of_interest, establishment",35.013105,135.766303,ChIJaaPzJ4wIAWARpNHs1WVqmTc
京都ブライトンホテル,京都市上京区仕丁町３３０,4.4,2912,"cafe, lodging, bar, restaurant, point_of_interest, food, establishment",35.0243557,135.7557497,ChIJSdpNdnQIAWARDdhcmpKx0ec
ホテルオークラ京都,京都市中京区 河原町御池,4.3,4845,"lodging, bar, restaurant, point_of_interest, food, establishment",35.01184819999999,135.7694265,ChIJLS3WZJIIAWARqQv8aoODVqs
松井別館 花かんざし Matsui Bekkan Hanakanzashi,京都市中京区堀之上町１２６ 高倉東入,4.2,260,"lodging, point_of_interest, establishment",35.007479,135.7627743,ChIJZwoDQJAIAWARKXhAcOYyGQ0
シティーペンション トミーリッチイン京都,京都市中京区福長町１０９−２ シティペンショントミーリッチイン京都 富小路通三条上る,3.7,43,"lodging, point_of_interest, establishment",35.0093254,135.7648575,ChIJ8ywE3JEIAWARLSie0fhSHUY
ホテル本能寺,京都市中京区下本能寺前町５２２,4.1,226,"lodging, point_of_interest, establishment",35.0105831,135.7683275,ChIJg4LAZJIIAWAR846tP-P5HGo
三井ガーデンホテル京都新町 別邸,京都市中京区六角町３６１ 三井ガーデンホテル京都新町別邸 1F,4.4,1281,"lodging, point_of_interest, establishment",35.0066241,135.7570223,ChIJq6q2oIQIAWAR_ZgZSn5Gq-A
京都ガーデンパレス,京都市上京区龍前町６０５ 烏丸通下長者町上る,3.9,1025,"lodging, point_of_interest, establishment",35.0231082,135.7587854,ChIJq6qqfXoIAWARi3onu4jkG6k
ホテル杉長,京都市中京区守山町１７２ 富小路通御池上る,4.1,265,"lodging, point_of_interest, establishment",35.0117068,135.7651829,ChIJ-QrMYI4IAWARn3M5GUqaXZY
松井本館 MATSUI HONKAN,京都市中京区井筒屋町 柳馬場六角下ル,4.4,356,"lodging, point_of_interest, establishment",35.0069952,135.7642089,ChIJVVXFAJEIAWARsAJgWqTpmN4
Grace Villa Nijo-jo castle,京都市中京区宮木町４６０ 姉小路通小川西入ル,4.4,46,"lodging, point_of_interest, establishment",35.00982259999999,135.7539556,ChIJqWEamoEIAWARqyQxVUbHFqI
吉川,京都市中京区下ル 富小路通り,4.5,368,"lodging, restaurant, food, point_of_interest, establishment",35.0103292,135.7647581,ChIJIXGXO44IAWARt7tPxA-jGag
ゲストハウスhannari,京都市上京区櫛笥町６９３ 693番地 日暮通下立売下る,4.3,81,"lodging, point_of_interest, establishment",35.01975290000001,135.7476902,ChIJ3Syq_tkHAWARceVpnWr7-e0
旅館三賀 【中京区店】,京都市中京区中之町 富小路通三条下ル,3.8,90,"lodging, point_of_interest, establishment",35.008444,135.7650636,ChIJaTxNvpEIAWARVjHkyhzzWzE
日昇別荘,京都市中京区中之町１３ 富小路西入る,3.8,176,"lodging, point_of_interest, establishment",35.008473,135.7647169,ChIJE3p9x5EIAWARQeFb5vQ5efE
要庵西富家,京都市中京区骨屋之町５６２,4.7,87,"lodging, point_of_interest, store, establishment",35.0066265,135.7647797,ChIJ06EAXoMIAWARJSzSIXIrZtU
Hostel MUNDO (月土),京都市上京区天秤町５９６,3.7,104,"lodging, point_of_interest, establishment",35.0204225,135.7478737,ChIJJS6N8dkHAWARIEN2Ey1ENbE
からすま京都ホテル,京都市下京区からすま 京都ホテル 烏丸通り四条下ル,3.9,2204,"lodging, bar, restaurant, food, point_of_interest, establishment",35.0019147,135.7592402,ChIJJZA8nJkIAWAR7LtIJBnqbA4
ホテルビスタプレミオ京都［河原町通］,京都市中京区松ケ枝町４５７ ホテルビスタプレミオ京都河原町通 河原町通六角西入ル,4.3,734,"lodging, point_of_interest, establishment",35.0079208,135.7682044,ChIJh-aPopMIAWARiHVjSN-Qz8g
ヴィアイン京都四条室町,京都市中京区山伏山町５５１−２,3.9,1028,"lodging, point_of_interest, establishment",35.005569,135.7578909,ChIJMw2jRpsIAWARBe0_OM5UH6A
EN HOTEL Kyoto（エンホテル京都）,京都市下京区妙伝寺町６９８ 西洞院通四条下る,3.5,794,"lodging, point_of_interest, establishment",35.00316489999999,135.7556246,ChIJWaGwJR8JAWAR0fdjZzIG3FA
京町家の宿 豊園 くれない庵,京都市下京区神明町７２２−４,4.3,12,"lodging, point_of_interest, establishment",35.002799,135.761696,ChIJD-stX5cIAWAR3SHHDnvFqWA
THE SCREEN,京都市中京区下御霊前町６４０−１,4.3,202,"lodging, point_of_interest, establishment",35.01703320000001,135.7670656,ChIJXbfSzYsIAWARSAnTLGqonms
ホテル グラン・エムズ京都,京都市中京区下丸屋町４１０−３,4.1,1350,"lodging, point_of_interest, establishment",35.0097889,135.7685778,ChIJmbFfV9oHAWARXNNOI9J5Lps
City88 (一条IVY Ichijyo-IVY),京都市上京区福大明神町１０９,4.1,47,"lodging, point_of_interest, establishment",35.0261336,135.7513715,ChIJ-5fPT98HAWARN_j1jtno-0o
ゲストハウス京都 みかさ,京都市中京区津軽町７８２−６ 釜座御池下ル,5,8,"lodging, point_of_interest, establishment",35.0098573,135.7555835,ChIJkfc9YIEIAWARlEmFoqmmAqg
旅庵花月,京都市中京区滕屋町１９１ 六角通東洞院東入,4,231,"lodging, point_of_interest, establishment",35.0075303,135.7616283,ChIJZVSZB5AIAWARCxL-S5IIw-I
ザ ロイヤルパークホテル 京都三条,京都市中京区中島町７４,4.3,1479,"lodging, point_of_interest, establishment",35.0089996,135.7695068,ChIJf6jVFpMIAWARpsdyUf-86CQ
ホテルマイステイズ京都四条,京都市下京区傘鉾町５２ 1F 四条通油小路東入ル,4.2,1910,"lodging, restaurant, food, point_of_interest, establishment",35.0039263,135.7546146,ChIJ7VPD35wIAWAR-9VNK7vqn6g
川嶋旅館,京都市下京区綾材木町２０７−２,4.2,63,"lodging, point_of_interest, establishment",35.0024833,135.7637583,ChIJ--SBAJcIAWARgBuV6WxQ2_w
京都トラベラーズ・イン Kyoto Traveler's Inn,京都市左京区岡崎円勝寺町９１−２,3.6,363,"lodging, point_of_interest, establishment",35.01170169999999,135.7839954,ChIJRcLkHecIAWAR4bfprd3BMRM
お宿いしちょう,京都市中京区末丸町２８４,3.5,344,"lodging, point_of_interest, establishment",35.0156595,135.7702459,ChIJbbJhuYwIAWARne6sxiipFRI
